car_description,car_name,km_traveled,value,year
1.6 16v Advance Xtronic,Nissan Versa,6.214,R$ 107.870,2022
2.0 Lx 4x2 16v Automático,Honda Crv,102.064,R$ 76.870,2012
1.8 Gli 16v Automático,Toyota Corolla,35.990,R$ 101.970,2019
1.6 Freestyle 16v Powershift,Ford Ecosport,51.683,R$ 71.870,2017
1.6 16v Flexstart S Xtronic,Nissan Kicks,41.417,R$ 86.970,2018
1.5 Exl 16v Automático,Honda Fit,71.798,R$ 74.870,2016
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,93.998,R$ 48.870,2015
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,50.798,R$ 50.970,2016
1.4 Turbo Ltz 16v Automático,Chevrolet Cruze,77.400,R$ 92.870,2017
1.4 Tfsi Sedan Ambiente 16v Tiptronic,Audi A3,57.431,R$ 119.870,2018
1.8 16v Evo Freedom At6,Fiat Toro,59.653,R$ 105.970,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,87.610,R$ 80.970,2019
1.5 Ti-vct Se Manual,Ford Ecosport,29.979,R$ 81.470,2020
1.8 16v Sport Automático,Jeep Renegade,26.946,R$ 96.870,2020
1.6 16v Flexstart Sv Xtronic,Nissan Kicks,70.510,R$ 89.870,2017
2.0 16v Flexone Ex Cvt,Honda Civic,41.955,R$ 109.870,2017
1.3 X 16v Manual,Toyota Etios,61.359,R$ 42.970,2014
2.0 Highline 4x4 Cd 16v Turbo Intercooler Diesel Automático,Volkswagen Amarok,79.584,R$ 153.970,2016
1.4 Tfsi Ambiente S Tronic,Audi Q3,81.454,R$ 139.870,2018
1.0 12v Sce Zen Manual,Renault Kwid,52.232,R$ 47.870,2019
1.0 Mpfi Lt 8v Manual,Chevrolet Onix,62.588,R$ 51.870,2018
2.0 S Top 16v Turbo Automático,Mini Cooper,95.043,R$ 114.970,2015
1.8 Mpfi Elite 8v Automático,Chevrolet Cobalt,65.597,R$ 65.870,2017
1.8 16v Sport Automático,Jeep Renegade,26.649,R$ 97.570,2020
2.0 16v Longitude Automático,Jeep Compass,15.768,R$ 148.970,2021
1.6 Se Hatch 16v Manual,Ford Fiesta,63.303,R$ 47.470,2015
1.4 Mpfi Activ 8v Automático,Chevrolet Onix,30.786,R$ 78.870,2019
2.0 Direct Titanium Automático,Ford Ecosport,56.905,R$ 84.870,2018
1.6 Dynamique 4x2 16v Manual,Renault Duster,69.861,R$ 68.970,2017
1.0 Mpi Total Manual,Volkswagen Up,18.959,R$ 62.870,2020
2.0 Titanium 16v Powershift,Ford Ecosport,55.347,R$ 73.470,2017
1.0 Firefly Drive Manual,Fiat Argo,11.578,R$ 74.970,2022
1.8 16v Lx Automático,Honda Hr-v,68.660,R$ 89.870,2016
2.0 16v Hi-flex Intense Automático,Renault Captur,38.513,R$ 87.870,2018
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,74.688,R$ 51.870,2018
1.4 16v Turbo Premier Automático,Chevrolet Tracker,23.825,R$ 103.870,2019
1.6 Msi Total Connect Manual,Volkswagen Fox,26.943,R$ 65.870,2020
1.6 Allure Thp 16v Automático,Peugeot 3008,30.856,R$ 174.370,2020
1.0 Mpi Attractive 8v Manual,Fiat Palio,48.563,R$ 45.870,2017
1.0 Mi Trend 8v Manual,Volkswagen Fox,42.165,R$ 38.370,2013
1.4 250 Tsi Total Comfortline Tiptronic,Volkswagen Jetta,49.215,R$ 112.970,2018
2.0 16v Flexone Exl Cvt,Honda Civic,23.110,R$ 127.370,2019
1.0 12v Sense Manual,Hyundai Hb20,31.127,R$ 61.870,2020
1.0 Mpi Total Manual,Volkswagen Polo,14.731,R$ 74.870,2021
1.8 Lt 8v Automático,Chevrolet Spin,43.296,R$ 78.970,2019
1.6 Msi Total Manual,Volkswagen Polo,38.509,R$ 68.870,2018
1.0 Firefly Drive Manual,Fiat Argo,50.734,R$ 57.870,2018
2.0 16v Longitude Automático,Jeep Compass,35.686,R$ 128.470,2019
1.4 Mpfi Activ 8v Automático,Chevrolet Onix,33.247,R$ 74.870,2018
1.6 Comfort Plus 16v Manual,Hyundai Hb20s,61.805,R$ 56.870,2015
1.8 Mpfi Ltz 8v Manual,Chevrolet Cobalt,40.556,R$ 73.970,2019
2.0 16v Limited Automático,Jeep Compass,34.375,R$ 154.970,2020
1.5 16v Turbo Touring Automático,Honda Hr-v,11.836,R$ 153.970,2020
2.0 Mpfi Gls 16v 143cv 2wd Automático,Hyundai Tucson,63.201,R$ 60.870,2015
1.8 16v Automático,Jeep Renegade,46.028,R$ 86.870,2018
1.6 Exclusive 16v Turbo Automático,Citroen C4 lounge,63.734,R$ 68.870,2016
2.0 16v Longitude Automático,Jeep Compass,20.320,R$ 147.870,2021
1.0 Mi 8v Manual,Volkswagen Fox,74.751,R$ 37.870,2013
1.4 Tsi Highline 16v Automático,Volkswagen Golf,52.104,R$ 86.170,2014
1.6 Turbo 16v Automático,Mercedes-benz A 200,70.989,R$ 134.970,2017
1.2 Active 12v Manual,Peugeot 208,50.519,R$ 54.870,2020
2.0 Tsi Gti 16v Turbo Automático,Volkswagen Golf,48.099,R$ 165.870,2017
1.8 16v Limited Automático,Jeep Renegade,17.753,R$ 115.370,2020
1.8 16v Longitude Automático,Jeep Renegade,61.790,R$ 89.970,2018
1.0 Tsi 12v Manual,Volkswagen Cross up,87.579,R$ 67.370,2018
1.0 Turbo Ltz Manual,Chevrolet Onix,49.360,R$ 80.970,2020
1.6 Mi Rock In Rio 8v Manual,Volkswagen Fox,68.722,R$ 54.970,2016
1.8 Gli 16v Automático,Toyota Corolla,75.768,R$ 82.870,2015
2.0 16v Limited Automático,Jeep Compass,38.876,R$ 153.970,2020
1.8 16v Automático,Jeep Renegade,63.892,R$ 85.870,2018
1.5 Ti-vct Se Automático,Ford Ecosport,11.303,R$ 87.570,2021
2.0 16v Tsi Bluemotion Highline Dsg,Volkswagen Passat,77.412,R$ 154.870,2018
1.0 Mpi Total Manual,Volkswagen Polo,43.821,R$ 66.970,2020
2.0 16v Turbo Diesel Freedom 4wd At9,Fiat Toro,21.838,R$ 175.970,2022
1.0 Turbo Ltz Manual,Chevrolet Onix,6.585,R$ 87.070,2021
1.0 200 Tsi Total Highline Automático,Volkswagen Nivus,8.125,R$ 130.370,2021
1.0 Comfort Plus 12v Manual,Hyundai Hb20s,85.212,R$ 63.880,2019
1.5 Ex 16v Automático,Honda Fit,18.400,R$ 92.970,2019
1.0 Comfort 12v Manual,Hyundai Hb20,79.504,R$ 56.880,2019
1.6 Premium 16v Automático,Hyundai Hb20s,47.204,R$ 59.870,2014
2.0 16v Flexone Exl Cvt,Honda Civic,60.254,R$ 110.870,2017
1.8 16v Longitude Automático,Jeep Renegade,77.891,R$ 82.870,2016
1.0 Turbo Premier Automático,Chevrolet Onix,42.300,R$ 91.870,2020
1.4 250 Tsi Total R-line Tiptronic,Volkswagen Jetta,37.597,R$ 135.870,2019
1.5 Exl 16v Automático,Honda City,32.468,R$ 96.670,2019
1.8 16v Sport Manual,Jeep Renegade,86.181,R$ 74.970,2016
